1.062917	1.062917	IL7S04AE10

2.002866	2.002866	IL7S04AC10

2.941834	2.941834	IL7S04B310
3.880704	3.880704	IL7S04B410
4.819385	4.819385	IL7S04BB10
5.759014	5.759014	IL7S04B010
6.697597	6.697597	IL7S04AE10
7.636703	7.636703	IL7S04AC10
8.576332	8.576332	IL7S04B310
9.513870	9.513870	IL7S04B410
10.453498	10.453498	IL7S04BB10
11.391559	11.391559	IL7S04B010
12.330665	12.330665	IL7S04AE10
13.270294	13.270294	IL7S04AC10
14.208354	14.208354	IL7S04B310
15.145938	15.145938	IL7S04D614
17.447751	17.447751	IL7S04E60B
